from_stop,AE,AF,AZ,BB,BT,DN,DZ,EN,EO,EQ,ER,EU,FA,FF,FH,FI,FZ,GX,GY,HV,HY,HZ,IC,IM,JD,JH,JW,JY,JZ,KC,KD,KE,KI,KO,KU,KV,LA,LN,MQ,MU,MV,NH,NN,OA,OM,OQ,OW,PI,PO,QC,QL,QU,QZ,RJ,RW,RZ,SI,SK,SP,SY,TB,TH,TN,TO,VE,VO,WY,XA,XF,XI,XO,YA,YF,YL,YM,ZA,ZX
ER,540.8,477.7,565.6,552.7,2054.6,101.2,386.6,464.5,523.8,101.9,0.0,544.9,114.7,397.1,466.8,628.9,501.2,122.5,390.8,643.3,577.0,526.9,452.3,281.8,517.6,110.8,532.1,324.8,539.7,198.0,574.7,520.9,88.3,416.7,129.1,533.3,523.4,508.6,302.5,204.2,492.6,544.6,547.0,590.1,540.0,473.6,505.7,646.8,202.4,391.4,156.7,432.7,322.9,453.9,441.2,115.1,595.6,549.5,590.7,95.0,144.3,471.5,423.3,140.7,529.3,158.7,510.2,573.8,550.5,324.6,479.8,483.9,499.7,136.6,590.2,236.0,403.8
EU,657.9,286.3,475.7,634.9,2167.2,704.0,518.1,576.4,629.1,768.5,768.3,0.0,767.2,384.0,225.1,286.4,236.3,725.8,384.3,301.8,252.4,299.3,564.2,500.0,252.4,801.6,255.9,454.9,307.1,628.0,309.8,325.3,779.5,456.9,803.8,436.7,148.9,418.7,434.0,803.5,297.0,103.0,165.1,261.8,215.4,585.5,133.9,304.3,805.7,522.9,747.6,426.2,389.1,238.2,336.9,805.9,146.8,268.7,41.0,698.3,747.6,220.4,535.2,790.1,333.7,749.6,185.6,308.9,441.3,464.9,591.7,303.5,192.6,672.5,702.1,826.9,535.3
FA,541.9,478.8,566.7,553.8,2055.7,102.3,387.7,465.6,524.9,103.0,1.0,546.0,0.0,398.2,467.9,630.0,502.3,123.6,391.9,644.4,578.1,528.0,453.4,282.9,518.7,111.9,533.2,325.9,540.8,199.1,575.8,522.0,89.4,417.8,130.2,534.3,524.5,509.7,303.6,205.3,493.7,545.7,548.1,591.2,541.1,474.7,506.8,647.9,203.5,392.5,157.8,433.8,324.0,455.0,442.3,116.2,596.7,550.6,591.8,96.1,145.4,472.6,424.4,141.8,530.4,159.8,511.3,574.9,551.6,325.7,480.9,485.0,500.8,137.7,591.3,237.1,404.9
FF,586.0,146.8,403.8,592.7,2035.6,632.6,446.2,504.5,563.8,703.2,696.4,155.0,695.3,0.0,85.6,232.4,104.7,653.9,252.7,254.4,180.5,154.8,492.3,428.1,120.8,729.7,135.6,384.4,167.6,562.7,178.2,185.8,707.6,385.0,738.5,371.5,266.2,346.8,362.1,721.4,157.5,251.5,275.8,193.6,143.5,513.6,234.5,250.3,733.8,451.0,675.7,35.6,257.5,98.7,44.0,734.0,295.3,153.0,196.0,626.4,675.7,75.0,463.3,718.2,194.2,677.7,113.7,177.3,217.7,393.0,519.8,86.7,103.2,600.6,630.2,755.0,463.4
FH,510.4,56.9,333.4,522.3,1977.6,562.2,375.8,434.1,493.4,632.8,626.0,78.0,624.9,188.6,0.0,162.0,34.3,583.5,182.3,176.4,110.1,69.1,421.9,357.7,50.7,659.3,65.2,314.0,81.9,492.3,107.8,100.1,637.2,405.9,668.1,301.1,181.8,276.4,291.7,652.3,71.8,173.9,205.4,123.2,73.1,443.2,164.1,179.9,663.4,380.6,605.3,224.2,199.5,13.0,118.3,663.6,224.9,82.6,123.8,556.0,605.3,4.6,392.9,647.8,108.5,607.3,43.3,106.9,147.3,322.6,449.4,78.3,32.8,530.2,559.8,684.6,393.0
FI,500.6,135.2,323.6,512.5,2020.3,552.4,366.0,424.3,483.6,623.0,616.2,50.2,615.1,243.7,78.2,0.0,89.4,573.7,237.4,166.6,100.3,147.4,412.1,347.9,105.8,649.5,109.0,304.2,160.2,482.5,162.9,178.4,627.4,396.1,658.3,291.3,172.0,266.6,281.9,642.5,150.1,146.1,195.6,113.4,63.3,433.4,154.3,17.8,653.6,370.8,595.5,279.3,242.2,91.3,196.6,653.8,197.1,137.7,96.0,546.2,595.5,73.5,383.1,638.0,186.8,597.5,35.2,162.0,119.5,312.8,439.6,156.6,45.7,520.4,550.0,674.8,383.2
FZ,511.0,100.7,334.0,522.9,1930.8,562.8,376.4,434.7,494.0,633.4,626.6,78.6,625.5,154.2,43.7,162.6,0.0,584.1,147.9,177.0,110.7,112.9,422.5,358.3,16.3,659.9,74.5,314.6,125.7,492.9,73.4,143.9,637.8,406.5,668.7,301.7,182.4,277.0,292.3,652.9,115.6,174.5,206.0,123.8,73.7,443.8,164.7,180.5,664.0,381.2,605.9,189.8,152.7,56.8,162.1,664.2,225.5,48.2,124.4,556.6,605.9,39.0,393.5,648.4,152.3,607.9,43.9,72.5,147.9,323.2,450.0,122.1,33.4,530.8,560.4,685.2,393.6
GX,576.6,403.2,601.4,588.5,2026.5,96.5,422.4,500.3,559.6,167.1,160.3,470.4,159.2,322.6,392.3,554.4,426.7,0.0,316.3,568.8,502.5,452.4,488.1,317.6,443.1,141.0,457.6,360.6,465.2,233.8,500.2,446.4,166.5,452.5,170.9,569.1,574.2,544.4,338.3,68.7,418.1,566.3,597.8,515.6,465.5,509.4,556.5,572.3,79.8,427.2,98.2,358.2,248.4,379.4,366.7,135.5,617.3,475.0,516.2,36.6,21.8,397.0,459.1,135.3,454.8,128.5,435.7,499.3,539.7,360.4,515.6,409.4,425.2,172.4,626.0,144.3,439.6
GY,586.4,86.8,409.4,598.3,2007.5,638.2,451.8,510.1,569.4,708.8,702.0,154.0,700.9,209.0,75.9,238.0,110.3,659.5,0.0,252.4,186.1,136.0,497.9,433.7,126.7,735.3,141.2,390.0,148.8,568.3,183.8,130.0,713.2,481.9,744.1,377.1,257.8,352.4,367.7,728.3,101.7,249.9,281.4,199.2,149.1,519.2,240.1,255.9,739.4,456.6,681.3,244.6,229.4,63.0,143.0,739.6,300.9,158.6,199.8,632.0,681.3,80.6,468.9,723.8,138.4,683.3,119.3,182.9,223.3,398.6,525.4,103.0,108.8,606.2,635.8,760.6,469.0
HV,511.9,120.3,329.7,488.9,2001.2,557.4,372.1,430.4,483.1,629.1,622.3,74.3,621.2,224.6,59.1,158.3,70.3,579.8,218.3,0.0,106.4,128.3,418.2,354.0,86.4,655.6,89.9,310.3,141.1,488.6,143.8,159.3,633.5,310.9,659.6,297.3,192.1,272.7,288.0,647.3,131.0,177.4,201.7,115.8,69.4,439.5,170.5,176.2,659.7,376.9,601.6,260.2,223.1,72.2,177.5,659.9,221.2,100.8,121.9,552.3,601.6,54.4,389.2,644.1,167.7,603.6,39.6,142.9,143.6,318.9,445.7,137.5,26.6,526.5,556.1,680.9,389.3
HY,469.7,200.8,257.2,481.6,2045.0,486.0,299.6,393.4,452.7,556.6,549.8,133.8,548.7,309.3,143.8,178.6,155.0,507.3,303.0,193.0,0.0,213.0,381.2,281.5,171.4,583.1,174.6,237.8,225.8,416.1,228.5,244.0,561.0,329.7,587.1,224.8,166.3,200.2,215.5,576.1,215.7,236.2,189.9,145.2,95.1,402.5,148.6,196.5,587.2,304.4,529.1,344.9,307.8,156.9,262.2,587.4,287.2,203.3,179.6,479.8,529.1,139.1,352.2,571.6,252.4,531.1,100.8,227.6,203.1,253.5,375.4,222.2,111.3,454.0,519.1,608.4,316.8
HZ,574.1,62.5,391.9,551.1,1979.0,620.2,434.3,492.6,545.3,691.3,684.5,143.1,683.4,180.5,58.4,220.5,92.8,642.0,174.2,237.5,168.6,0.0,480.4,416.2,108.9,712.8,123.7,371.1,12.8,545.8,166.3,101.5,690.7,373.1,716.8,354.5,249.3,329.9,350.2,719.7,73.2,239.6,258.9,178.0,131.6,501.7,232.7,238.4,721.9,434.1,663.8,216.1,200.9,40.5,120.5,722.1,283.4,125.2,179.1,614.5,658.8,63.1,451.4,706.3,109.9,665.8,101.8,165.4,357.5,381.1,507.9,85.5,91.3,588.7,618.3,743.1,451.5
IC,257.2,427.1,373.5,269.1,1925.1,366.1,143.8,180.9,71.4,436.7,429.9,360.1,428.8,373.5,370.1,379.1,381.3,387.4,367.2,393.5,358.4,439.3,0.0,107.7,397.7,463.2,400.9,82.0,452.1,296.2,454.8,470.3,441.1,173.9,472.0,341.2,304.6,316.5,77.9,456.2,442.0,352.5,328.2,371.5,321.4,21.2,286.9,397.0,467.3,148.6,409.2,409.1,299.3,383.2,417.6,467.5,403.5,429.6,405.9,359.9,409.2,365.4,139.7,451.7,478.7,411.2,327.1,453.9,358.4,54.2,193.6,448.5,337.6,334.1,137.8,488.5,161.0
IM,264.1,368.2,352.4,241.1,1915.3,355.8,104.7,182.6,241.9,426.9,420.1,297.0,419.0,363.7,307.0,316.0,318.2,377.6,357.4,338.0,295.3,376.2,170.4,0.0,334.3,453.4,337.8,41.5,389.0,286.4,391.7,407.2,431.3,43.5,457.4,320.0,255.5,295.4,20.6,446.4,378.9,338.6,265.1,304.7,258.3,191.7,233.9,333.9,457.5,109.5,399.4,399.3,289.5,320.1,407.8,457.7,382.4,350.6,344.6,350.1,399.4,302.3,141.4,441.9,415.6,401.4,264.0,390.8,337.3,42.7,197.9,385.4,274.5,324.3,308.3,478.7,121.9
JD,532.1,120.8,349.9,509.1,1913.3,578.2,392.3,450.6,503.3,649.3,642.5,101.1,641.4,136.7,59.6,178.5,15.8,600.0,130.4,200.2,126.6,133.8,438.4,373.9,0.0,675.8,90.4,329.1,141.6,508.5,55.9,159.5,653.7,331.1,679.8,320.1,212.3,292.9,308.2,677.7,131.5,197.6,221.9,136.0,89.6,459.7,190.7,196.4,679.9,396.8,621.8,172.3,135.2,72.7,180.8,680.1,241.4,14.8,142.1,572.5,621.5,54.9,409.4,664.3,168.2,623.5,59.8,55.0,315.5,339.1,465.9,138.0,49.3,546.7,576.3,701.1,409.5
JH,632.1,528.1,656.9,644.0,2147.2,216.1,477.9,555.8,608.5,58.3,91.2,597.7,90.1,443.3,513.0,675.1,547.4,120.6,437.0,697.1,623.2,578.1,543.6,373.1,563.5,0.0,578.3,416.1,585.9,289.3,620.9,567.1,25.4,416.7,84.5,624.5,628.7,599.9,393.8,104.8,538.8,635.9,638.3,632.6,586.2,564.9,597.0,693.0,129.7,482.7,103.4,478.9,369.1,500.1,487.4,4.3,686.9,577.9,638.7,157.3,103.8,517.7,514.6,65.7,575.5,87.0,556.4,620.0,641.8,415.9,571.1,530.1,545.9,227.9,681.5,133.2,495.1
JW,556.0,117.0,379.0,567.9,2037.7,607.8,421.4,479.7,539.0,678.4,671.6,123.6,670.5,234.2,60.0,207.6,79.9,629.1,227.9,222.0,155.7,129.2,467.5,403.3,96.3,704.9,0.0,359.6,142.0,537.9,153.4,160.2,682.8,451.5,713.7,346.7,227.4,322.0,337.3,697.9,131.9,219.5,251.0,168.8,118.7,488.8,209.7,225.5,709.0,426.2,650.9,269.8,259.6,73.1,178.4,709.2,270.5,128.2,169.4,601.6,650.9,55.3,438.5,693.4,168.6,652.9,88.9,152.5,192.9,368.2,495.0,138.4,78.4,575.8,605.4,730.2,438.6
JY,299.6,385.7,292.2,276.6,1897.3,337.8,61.7,218.1,270.8,408.9,402.1,321.1,401.0,344.3,324.5,333.5,335.7,359.6,339.4,355.5,312.8,398.7,205.9,80.1,351.8,434.0,355.3,0.0,406.5,268.4,409.2,424.7,411.9,37.0,439.4,258.4,271.6,233.8,32.3,437.3,396.4,278.4,282.6,322.2,275.8,227.2,251.4,351.4,439.5,66.5,381.4,379.9,271.5,336.2,388.4,439.7,322.2,368.1,360.7,330.7,380.0,319.8,176.9,423.9,433.1,382.0,281.5,408.3,257.8,78.2,137.5,402.9,290.6,304.9,342.4,460.7,78.9
JZ,556.1,45.5,379.1,568.0,1966.2,607.9,421.5,479.8,539.1,678.5,671.7,123.7,670.6,167.7,45.6,207.7,80.0,629.2,161.4,222.1,155.8,105.7,467.6,403.4,96.4,705.0,110.9,359.7,0.0,538.0,153.5,88.7,682.9,451.6,713.8,346.8,227.5,322.1,337.4,698.0,60.4,219.6,251.1,168.9,118.8,488.9,209.8,225.6,709.1,426.3,651.0,203.3,188.1,32.7,112.7,709.3,270.6,128.3,169.5,601.7,651.0,50.3,438.6,693.5,97.1,653.0,89.0,152.6,193.0,368.3,495.1,72.7,78.5,575.9,605.5,730.3,438.7
KC,534.8,420.4,743.0,546.7,2043.7,257.9,380.6,458.5,517.8,326.2,319.4,487.6,318.3,339.8,409.5,571.6,443.9,376.8,333.5,593.6,519.7,469.6,446.3,275.8,460.0,352.7,474.8,317.4,482.4,0.0,517.4,463.6,330.6,410.7,356.7,710.7,605.4,686.0,296.5,445.6,435.3,583.5,615.0,529.1,482.7,467.6,583.8,589.5,456.7,385.4,298.7,375.4,265.6,396.6,383.9,357.0,634.5,476.3,535.2,385.4,398.6,414.2,417.3,341.2,472.0,300.7,452.9,516.5,708.6,318.6,473.8,426.6,442.4,223.6,584.2,521.2,397.8
KD,660.9,161.3,483.9,672.8,1857.3,513.3,526.3,584.6,643.9,583.9,577.1,228.5,576.0,80.7,150.4,312.5,184.8,468.0,74.4,326.9,260.6,210.5,572.4,508.2,201.2,609.1,215.7,464.5,223.3,504.6,0.0,204.5,588.3,556.4,619.2,451.5,332.3,426.9,442.2,536.8,176.2,324.4,355.9,273.7,223.6,593.7,314.6,330.4,547.9,531.1,556.4,116.3,79.2,137.5,124.8,603.6,375.4,233.1,274.3,476.6,489.8,155.1,543.4,598.9,212.9,558.4,193.8,257.4,297.8,473.1,599.9,167.5,183.3,481.3,710.3,612.4,543.5
KE,688.5,187.9,506.3,665.5,1901.6,556.5,548.7,607.0,659.7,628.2,621.4,250.9,620.3,103.1,172.8,334.9,207.2,512.3,96.8,356.9,283.0,232.9,594.8,530.6,223.6,653.4,238.1,485.5,245.7,548.9,280.7,0.0,632.6,578.8,658.7,473.9,368.7,449.3,464.6,581.1,198.6,346.8,378.3,296.1,246.0,616.1,337.0,352.8,592.2,553.5,600.7,138.7,123.5,159.9,147.2,647.9,397.8,237.7,298.5,520.9,534.1,177.5,565.8,643.2,32.5,602.7,216.2,279.8,320.2,495.5,622.3,189.9,205.7,525.6,732.7,656.7,565.9
KI,612.2,548.1,631.8,618.9,2120.8,169.7,452.8,530.7,590.0,32.8,66.7,617.7,65.6,463.3,533.0,695.1,567.4,141.3,457.0,717.1,643.2,593.1,518.5,348.0,583.5,22.4,598.3,389.6,605.9,264.2,640.9,587.1,0.0,482.9,68.1,599.4,603.6,574.8,368.7,122.5,558.8,610.8,613.2,656.3,606.2,539.8,571.9,713.0,147.4,457.6,90.0,498.9,389.1,520.1,507.4,26.7,661.8,597.9,658.7,178.0,124.5,537.7,489.5,52.3,595.5,73.6,576.4,640.0,616.7,390.8,546.0,550.1,565.9,202.8,656.4,150.9,470.0
KO,301.5,399.2,303.1,278.5,1866.0,306.5,147.8,220.0,272.7,377.6,370.8,413.2,369.7,320.1,411.4,353.4,422.6,328.3,308.1,381.1,332.7,485.6,207.8,43.0,438.7,409.8,442.2,78.9,493.4,237.1,496.1,438.2,387.7,0.0,418.6,270.7,355.3,251.8,58.0,406.0,409.9,289.3,364.9,342.1,295.7,229.1,333.7,371.3,408.2,152.6,350.1,355.7,240.2,376.9,364.2,408.4,333.1,455.0,454.2,306.5,355.8,406.7,178.8,392.6,446.6,352.1,371.9,495.2,268.7,80.1,235.3,401.2,384.6,280.7,345.7,429.4,159.3
KU,643.7,567.5,658.5,645.6,2152.3,193.0,484.3,562.2,610.1,40.4,97.6,641.3,96.5,490.0,556.6,721.8,594.1,169.0,480.6,740.7,666.8,616.7,545.2,379.5,610.2,80.0,621.9,416.3,632.6,290.9,664.5,610.7,74.4,514.4,0.0,630.9,630.3,606.3,400.2,153.2,585.5,642.3,644.7,676.2,632.9,571.3,608.7,736.6,178.1,489.1,129.6,522.5,412.7,546.8,531.0,82.4,688.5,642.4,682.3,200.9,147.4,561.3,521.0,96.7,622.2,113.2,600.0,666.7,643.4,417.5,577.5,576.8,592.6,234.3,683.1,176.8,496.7
KV,456.7,257.2,32.3,471.2,2032.0,471.9,289.2,380.4,442.3,546.2,536.8,192.6,538.2,361.5,196.0,212.8,207.2,494.3,355.2,234.8,178.9,265.2,368.2,268.5,225.9,570.1,226.8,224.8,280.5,405.7,283.3,296.2,548.0,225.4,581.4,0.0,81.9,189.7,202.5,565.2,267.9,225.8,94.1,192.0,141.9,389.5,50.2,230.7,576.8,291.4,516.1,397.1,360.0,209.1,314.4,576.9,274.2,258.0,233.6,466.8,516.1,193.9,339.2,558.6,304.6,518.1,155.5,282.3,229.1,240.5,362.4,274.4,163.5,443.5,508.7,595.4,303.8
LA,497.2,171.0,320.2,479.4,2056.1,547.9,362.6,420.9,480.2,619.6,612.8,104.0,611.7,279.5,114.0,130.8,125.2,570.3,273.2,152.8,96.9,183.2,408.7,344.5,141.6,646.1,144.8,299.4,196.0,479.1,198.7,214.2,624.0,392.7,650.1,287.9,0.0,263.2,278.5,648.0,185.9,199.9,9.5,106.3,59.9,430.0,161.0,148.7,650.2,367.4,592.1,315.1,278.0,127.1,232.4,650.4,250.9,155.7,151.6,542.8,592.1,109.3,379.7,634.6,222.6,594.1,71.0,197.8,173.3,309.4,436.2,192.4,81.5,517.0,546.6,671.4,379.8
LN,483.9,226.4,56.9,495.8,2059.2,499.1,313.8,407.6,460.3,570.8,564.0,160.4,562.9,330.7,165.2,240.0,176.4,521.5,324.4,262.0,192.5,234.4,395.4,295.7,192.8,597.3,196.0,250.6,247.2,430.3,249.9,265.4,575.2,343.9,606.1,24.6,109.1,0.0,229.7,589.9,237.1,35.9,118.7,201.9,155.5,416.7,77.4,257.9,601.4,318.6,543.3,366.3,329.2,178.3,283.6,601.6,86.9,224.7,208.0,494.0,543.3,160.5,366.4,585.8,273.8,545.3,125.7,249.0,41.8,267.7,389.6,243.6,132.7,468.2,533.3,622.6,331.0
MQ,262.0,349.1,259.8,273.9,1864.9,305.9,84.0,185.7,245.0,376.5,369.7,282.1,368.6,313.3,292.1,301.1,303.3,327.2,307.0,315.5,280.4,361.3,173.5,65.9,319.7,403.0,322.9,22.2,374.1,236.0,376.8,392.3,380.9,114.1,411.8,227.4,226.6,202.8,0.0,396.0,364.0,238.8,250.2,293.5,243.4,194.8,208.9,319.0,407.1,88.8,349.0,348.9,239.1,305.2,357.4,407.3,289.8,351.6,327.9,299.7,349.0,287.4,144.5,391.5,400.7,351.0,249.1,375.9,244.7,45.8,201.0,370.5,259.6,273.9,311.4,428.3,101.2
MU,647.1,473.7,672.8,659.0,2097.9,167.7,492.9,571.7,630.1,164.6,126.6,540.9,125.5,393.1,463.7,625.8,498.1,71.3,387.7,646.9,573.9,522.9,559.5,388.8,514.5,108.9,529.0,431.1,536.6,304.3,571.6,516.9,122.2,523.0,138.1,640.7,659.9,614.9,409.7,0.0,489.5,636.8,669.5,586.1,536.9,580.8,627.0,643.7,28.9,497.7,48.3,428.7,319.8,449.9,451.3,103.6,688.7,530.8,589.7,107.1,67.7,468.4,530.5,101.1,526.2,77.7,507.1,570.7,610.2,431.8,587.0,480.8,495.7,257.0,696.5,89.0,511.0
MV,687.4,187.8,510.4,699.3,1905.7,561.7,552.8,611.1,670.4,632.3,625.5,255.0,624.4,107.2,176.9,339.0,211.3,516.4,100.9,353.4,287.1,237.0,598.9,534.7,227.7,657.5,242.2,491.0,249.8,553.0,284.8,28.2,636.7,582.9,667.6,480.6,358.8,453.4,468.7,585.2,0.0,350.9,382.4,300.2,250.1,620.2,341.1,356.9,596.3,557.6,604.8,142.8,127.6,164.0,151.3,652.0,401.9,259.6,300.8,525.0,538.2,181.6,569.9,647.3,36.6,606.8,220.3,283.9,324.3,499.6,626.4,194.0,209.8,529.7,736.8,660.8,570.0
NH,562.0,190.4,379.8,539.0,2071.3,608.1,422.2,480.5,533.2,672.0,672.4,131.0,671.3,294.7,129.2,208.4,140.4,629.9,288.4,223.2,156.5,203.4,468.3,396.9,156.5,705.7,160.0,359.0,211.2,531.5,213.9,229.4,683.6,361.0,707.3,347.4,235.0,322.8,338.1,707.6,201.1,0.0,244.6,165.9,119.5,489.6,220.6,226.3,709.8,427.0,651.7,330.3,293.2,142.3,240.4,710.0,51.0,172.8,164.8,602.4,644.5,124.5,439.3,694.2,237.8,653.7,89.7,213.0,345.4,369.0,495.8,207.6,96.7,576.6,606.2,731.0,439.4
NN,487.6,161.4,310.6,499.5,2046.5,538.3,353.0,411.3,464.0,610.0,603.2,101.0,602.1,269.9,104.4,121.2,115.6,560.7,263.6,143.2,87.3,173.6,399.1,334.9,131.7,636.5,135.2,289.8,186.4,469.5,189.1,204.6,614.4,291.8,640.5,278.2,173.0,253.6,268.9,628.2,176.3,197.5,0.0,96.7,50.3,420.4,141.3,139.1,640.6,357.8,582.5,305.5,268.4,117.5,222.8,640.8,241.3,163.9,142.0,533.2,582.5,99.7,370.1,625.0,213.0,584.5,61.4,188.2,163.7,299.8,426.6,182.8,71.9,507.4,537.0,661.8,370.2
